ngl,Centre/location,Product code,Category,Sub-Category,Product title,Description,material,dimension (H*W*B),sizes/capacity,colors,Care Instruction,Features,Stock available,Sample photo,Cost B2C,Min. and Maximum ordering quantity,Cost B2B,Mininum and Maximum ordering quantity,Centre Poc name,Centre poc contact no.,Remark,,S.no.,Centre Name,Total beneficiaries at present,Beneficiary Testimonial,,,Centre testimonial
54,Fathenagar,TB54,Tiffin bag,Tiffin bag,Deep Green printed cotton tiffin bag,"This is a handmade, durable and easily washable Deep Green printed cotton tiffin bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and dori closure. The dimensions of the bag are 8*14*3. It can be used for carrying tiffin boxes and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",8*14*3,3kg,Deep Green,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
55,Fathenagar,TB55,Tiffin bag,Tiffin bag,Light Blue cotton tiffin bag,"This is a handmade, durable and easily washable Light Blue cotton tiffin bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and dori closure. The dimensions of the bag are 9*14*2.5. It can be used for carrying tiffin boxes and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",9*14*2.5,3kg,Light Blue,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
56,Fathenagar,TB56,Tiffin bag,Tiffin bag,Blue and pink printed cotton tiffin bag,"This is a handmade, durable and easily washable Blue and pink printed cotton tiffin bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and dori closure. The dimensions of the bag are 9*14.5*3. It can be used for carrying tiffin boxes and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",9*14.5*3,3kg,Blue and pink,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
57,Fathenagar,TB57,Tiffin bag,Tiffin bag,Blue and pink printed cotton tiffin bag,"This is a handmade, durable and easily washable Blue and pink printed cotton tiffin bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and dori closure. The dimensions of the bag are 8*13.5*3. It can be used for carrying tiffin boxes and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",8*13.5*3,3kg,Blue and pink,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
58,Fathenagar,TB58,Tiffin bag,Tiffin bag,Light Blue and orange cotton tiffin bag,"This is a handmade, durable and easily washable Light Blue and orange cotton tiffin bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and dori closure. The dimensions of the bag are 8*13*3. It can be used for carrying tiffin boxes and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",8*13*3,3KG,Light Blue and orange,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
59,Fathenagar,TB59,Tiffin bag,Tiffin bag,Blue and chartreuse cotton tiffin bag,"This is a handmade, durable and easily washable Blue and chartreuse cotton tiffin bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and dori closure. The dimensions of the bag are 8.5*14*2.5. It can be used for carrying tiffin boxes and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",8.5*14*2.5,3KG,Blue and chartreuse,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
60,Fathenagar,TB60,Tiffin bag,Tiffin bag,Navy blue cotton tiffin bag,"This is a handmade, durable and easily washable Navy blue cotton tiffin bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and dori closure. The dimensions of the bag are 9.5*14*3. It can be used for carrying tiffin boxes and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",9.5*14*3,3kg,Navy blue,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
61,Fathenagar,TB61,Tiffin bag,Tiffin bag,Orange and black printed cotton tiffin bag,"This is a handmade, durable and easily washable Orange and black printed cotton tiffin bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and dori closure. The dimensions of the bag are 8*14*3. It can be used for carrying tiffin boxes and can hold upto 3kg.","Cotton, thermocol, non-woven fabric",8*14*3,3kg,Orange and black,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
62,Fathenagar,CP62,Clutch,Hand clutch,Multicoloured cotton clutch,"This is a handmade, durable and easily washable multicoloured cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 5*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",5*9,,Multi colours,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
63,Fathenagar,CP63,Clutch,Hand clutch,Green cotton clutch,"This is a handmade, durable and easily washable Green cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 4*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",4*9,,Green,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
64,Fathenagar,CP64,Clutch,Hand clutch,white and green cotton clutch,"This is a handmade, durable and easily washable white and green cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 5*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",5*9,,white and green,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
65,Fathenagar,CP65,Clutch,Hand clutch,Green printed cotton clutch,"This is a handmade, durable and easily washable Green printed cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 4*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",4*9,,Green,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
66,Fathenagar,CP66,Clutch,Hand clutch,Pink and yellow cotton clutch,"This is a handmade, durable and easily washable Pink and yellow cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 5*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",5*9,,Pink and yellow ,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
67,Fathenagar,CP67,Clutch,Hand clutch,Blue and pink cotton clutch,"This is a handmade, durable and easily washable Blue and pink cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 5*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",5*9,,Blue and pink,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
68,Fathenagar,CP68,Clutch,Hand clutch,Grey and orange elephant printed cotton clutch,"This is a handmade, durable and easily washable Grey and orange elephant printed cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 5*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",5*9,,Grey and orange,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
69,Fathenagar,CP69,Clutch,Hand clutch,off-white and orange cotton clutch,"This is a handmade, durable and easily washable off-white and orange cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 5*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",5*9,,Off white and orange,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
70,Fathenagar,CP70,Clutch,Hand clutch,Black handloom cotton clutch,"This is a handmade, durable and easily washable Black handloom cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 5*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",5*9,,Black,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
71,Fathenagar,CP71,Clutch,Hand clutch,Green and white printed cotton clutch,"This is a handmade, durable and easily washable Green and white printed cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 5*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",5*9,,Green and white,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
72,Fathenagar,CP72,Clutch,Hand clutch,Blue and black cotton clutch,"This is a handmade, durable and easily washable Blue and black cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 5*9. It is easily carryable in hand and bag.","Primary cotton,middle collared strip is buckrum,inner non woven material ",5*9,,Blue and black,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
73,Fathenagar,CP73,Trend clutch,Hand clutch,Blue banaras silk clutch,"This is a handmade, durable and easily washable Blue banaras silk clutch. It is made of banaras silk. The product has a magnetic closure. The dimensions of the clutch are 8*9. It features three zipper pockets and is easily carryable in hand and bag.",Banaras silk,8*9,,Blue,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,Rate change from 300 to 350,,,,,,,,
74,Fathenagar,CP74,Trend clutch,Hand clutch,Dark pink cotton clutch,"This is a handmade, durable and easily washable Dark pink cotton clutch. It is made of cotton. The product has a magnetic closure. The dimensions of the clutch are 9*9. It features three zipper pockets and is easily carryable in hand and bag.",Cotton,9*9,,Dark pink,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
75,Fathenagar,CP75,Trend clutch,Hand clutch,Stones studded Navy blue raw silk clutch,"This is a handmade, durable and easily washable stone studded Navy blue raw silk clutch. It is made of plain raw silk. The product has a magnetic closure. The dimensions of the clutch are 9*9. It features three zipper pockets and is easily carryable in hand and bag.",Raw silk,9*9,,Navy blue,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
76,Fathenagar,CP76,Trend clutch,Hand clutch,Black and red with golden zari banaras silk clutch,"This is a handmade, durable and easily washable Black and red with golden zari banaras silk clutch. It is made of banaras silk. The product has a magnetic closure. The dimensions of the clutch are 8*9. It features three zipper pockets and is easily carryable in hand and bag.",Banaras silk,8*9,,Black and red with golden zari,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,Rate change from 300 to 350,,,,,,,,
77,Fathenagar,CP77,Trend clutch,Hand clutch,Black cotton clutch,"This is a handmade, durable and easily washable Black cotton clutch. It is made of cotton. The product has a magnetic closure. The dimensions of the clutch are 8*9. It features three zipper pockets and is easily carryable in hand and bag.",Cotton,8*9,,Black,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
78,Fathenagar,CP78,Trend clutch,Hand clutch,Stones studded Dark pink cotton clutch,"This is a handmade, durable and easily washable stone studded Pink raw silk clutch. It is made of plain raw silk. The product has a magnetic closure. The dimensions of the clutch are 8*9. It features three zipper pockets and is easily carryable in hand and bag.",Raw silk,8*9,,Pink,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
79,Fathenagar,CP79,Trend clutch,Hand clutch,Blue cotton clutch,"This is a handmade, durable and easily washable Blue cotton clutch. It is made of cotton. The product has a magnetic closure. The dimensions of the clutch are 8*8. It features three zipper pockets and is easily carryable in hand and bag.",Cotton,8*8,,Blue,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
80,Fathenagar,CP80,Trend clutch,Hand clutch,Blue and Black cotton clutch,"This is a handmade, durable and easily washable Blue and Black cotton clutch. It is made of cotton. The product has a magnetic closure. The dimensions of the clutch are 9*9. It features three zipper pockets and is easily carryable in hand and bag.",Cotton,9*9,,Blue and black,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
81,Fathenagar,CP81,Trend clutch,Hand clutch,Black cotton clutch,"This is a handmade, durable and easily washable Black cotton clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 8*9. It is easily carryable in hand and bag.",Cotton,8*9,,Black,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
82,Fathenagar,CP82,Trend clutch,Hand clutch,Blue banaras silk clutch,"This is a handmade, durable and easily washable Blue banaras silk clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 8*9. It is easily carryable in hand and bag.",Banaras silk,8*9,,Blue ,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,Rate change from 300 to 350,,,,,,,,
83,Fathenagar,CP83,Trend clutch,Hand clutch,Pink and yellow banaras silk clutch,"This is a handmade, durable and easily washable Pink and yellow banaras silk clutch. It is made of cotton (Primary material), collared strip is buckrum (middle), non-woven fabric (inner material). The product has a zipper closure. The dimensions of the clutch are 8*9. It is easily carryable in hand and bag.",Banaras silk,8*9,,Pink and yellow ,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,Rate change from 300 to 350,,,,,,,,
84,Fathenagar,SHB84,2 in 1 Bag,Side bag,Light pink and Light blue cotton 2 in 1 sling bag,"This is a handmade, durable and easily washable Light pink and Light blue cotton 2 in 1 sling bag. It is made of cotton (Primary material), thermocol (middle), cotton (inner material) ,  Nylon (Handle material) and can be used on both sides. The dimensions of the bag are 9*11*5. The product has a button closure and an adjustor to adjust the length of the bag.","Cotton, thermacol",9*11*5,,Light pink and light blue,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
85,Fathenagar,SHB85,2 in 1 Bag,Side bag,Grey and sky blue cotton 2 in 1 sling bag,"This is a handmade, durable and easily washable Grey and sky blue cotton 2 in 1 sling bag. It is made of cotton (Primary material), thermocol (middle), cotton (inner material),  Nylon (Handle material) and can be used on both sides. The dimensions of the bag are 10*12*3. The product has a button closure.","Cotton, thermacol",10*12*3,,Grey and sky blue,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
86,Fathenagar,SHB86,2 in 1 Bag,Side bag,Pea green and yellow cotton 2 in 1 sling bag,"This is a handmade, durable and easily washable Pea green and yellow cotton 2 in 1 sling bag. It is made of cotton (Primary material), thermocol (middle), cotton (inner material),  Nylon (Handle material) and can be used on both sides. The dimensions of the bag are 10*11*3. The product has a button closure.","Cotton, thermacol",10*11*3,,Pea green and yellow,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
87,Fathenagar,SHB87,2 in 1 Bag,Side bag,Yellow and green cotton 2 in 1 sling bag,"This is a handmade, durable and easily washable Yellow and green cotton 2 in 1 sling bag. It is made of cotton (Primary material), thermocol (middle), cotton (inner material), Nylon (Handle material) and can be used on both sides. The dimensions of the bag are 10*11*4. The product has a button closure.","Cotton, thermacol",10*11*4,,Yellow and green,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
88,Fathenagar,SHB88,Sling bag,Side bag,off-white handloom printed cotton sling bag,"This is a handmade, durable and easily washable off-white handloom printed cotton sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 10*11*2. The product has a zipper closure.","Cotton, thermocol, non woven fabric, nylon",10*11*2,,Off white and red and green patten,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
89,Fathenagar,SHB89,Sling bag,Side bag,Yellow and Black handloom printed cotton sling bag,"This is a handmade, durable and easily washable Yellow and Black handloom printed cotton sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 11*12*3. The product has a zipper closure.","Cotton, thermocol, non woven fabric, nylon",11*12*3,,Yellow and Black ,hand wash only,"Handmade, Durable, easily washable",1,,300,,,,,,,,,,,,,,
90,Fathenagar,SHB90,Sling bag,Side bag,Yellow and Black handloom printed cotton sling bag,"This is a handmade, durable and easily washable Yellow and Black handloom printed cotton sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 10*12*2. The product has a zipper closure.","Cotton, thermocol, non woven fabric, nylon",10*12*2,,Sky blue and black,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
91,Fathenagar,SHB91,Sling bag,Side bag,Sky blue and orange printed cotton sling bag,"This is a handmade, durable and easily washable Sky blue and orange printed cotton sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 9*11*3. The product has a zipper closure.","Cotton, thermocol, non woven fabric, nylon",9*11*3,,Sky blue and orange,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
92,Fathenagar,SHB92,Sling bag,Side bag,Orange and white printed cotton sling bag,"This is a handmade, durable and easily washable Orange and white printed cotton sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 9*11*3. The product has a zipper closure.","Cotton, thermocol, non woven fabric, nylon",9*11*3,,Orange and white,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
93,Fathenagar,SHB93,Sling bag,Side bag,Red and yellow printed cotton sling bag,"This is a handmade, durable and easily washable Red and yellow printed cotton sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 10*11*3. The product has a zipper closure.","Cotton, thermocol, non woven fabric, nylon",10*11*3,,Red and yellow,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
94,Fathenagar,SHB94,Sling bag,Side bag,sea green and yellow printed cotton sling bag,"This is a handmade, durable and easily washable sea green and yellow printed cotton sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 9*11*3. The product has a zipper closure.","Cotton, thermocol, non woven fabric, nylon",9*11*3,,sea green and yellow,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
95,Fathenagar,SHB95,Sling bag,Side bag,Dark yellow and green printed cotton sling bag,"This is a handmade, durable and easily washable Dark yellow and green printed cotton sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 8*11*3. The product has a zipper closure.","Cotton, thermocol, non woven fabric, nylon",8*11*3,,Dark yellow and green,hand wash only,"Handmade, Durable, easily washable",1,,350,,,,,,,,,,,,,,
96,Fathenagar,SHB96,Sling bag,Side bag,Green and white printed cotton sling bag,"This is a handmade, durable and easily washable Green and white printed cotton sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 9*11*3. The product has a zipper closure.","Cotton, thermocol, non woven fabric, nylon",9*11*3,,Green and white,hand wash only,"Handmade, Durable, easily washable",1,,,,,,,,,,,,,,,,
97,Fathenagar,SHB97,Sling bag,Side bag,Light green and off white printed cotton sling bag,"This is a handmade, durable and easily washable Light green and off white printed cotton sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 9*11*3. The product has a zipper closure.","Cotton, thermocol, non woven fabric, nylon",9*11*3,,Light green and off white,hand wash only,"Handmade, Durable, easily washable",1,,,,,,,,,,,,,,,,
98,Fathenagar,MSB98,Mobile sling,sling,Green and red printed cotton mobile sling bag,"This is a handmade, durable and easily washable Green and red printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 8*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",8*5,,Green and red,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
99,Fathenagar,MSB99,Mobile sling,sling,Yellow and Black handloom cotton mobile sling bag,"This is a handmade, durable and easily washable Yellow and Black handloom cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 7*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",7*5,,Yellow and Black ,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
100, ,MSB100,Mobile sling,sling,Yellow and red printed cotton mobile sling bag,"This is a handmade, durable and easily washable Yellow and red printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 7*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",7*5,,Yellow and red,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
101,Fathenagar,MSB101,Mobile sling,sling,Dark green and light green printed cotton mobile sling bag,"This is a handmade, durable and easily washable Dark green and light green printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 8*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",8*5,,Dark green and light green,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
102,Fathenagar,MSB102,Mobile sling,sling,Sky blue and black cotton mobile sling bag,"This is a handmade, durable and easily washable Sky blue and black cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 7*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",7*5,,Sky blue and black,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
103,Fathenagar,MSB103,Mobile sling,sling,Brown and black handloom printed cotton mobile sling bag,"This is a handmade, durable and easily washable Brown and black handloom printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 8*6. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",8*6,,Brown and black,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
104,Fathenagar,MSB104,Mobile sling,sling,Black handloom cotton mobile sling bag,"This is a handmade, durable and easily washable Black handloom cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 7*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",7*5,,Black,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
105,Fathenagar,MSB105,Mobile sling,sling,Yellow and green printed cotton mobile sling bag,"This is a handmade, durable and easily washable Yellow and green printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 7*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",7*5,,Yellow and green,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
106,Fathenagar,MSB106,Mobile sling,sling,Off white and blue handloom printed cotton mobile sling bag,"This is a handmade, durable and easily washable Off white and blue handloom printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 8*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",8*5,,Off white and blue,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
107,Fathenagar,MSB107,Mobile sling,sling,Black and yellow handloom printed cotton mobile sling bag,"This is a handmade, durable and easily washable Black and yellow handloom printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 8*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",8*5,,Black and yellow,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
108,Fathenagar,MSB108,Mobile sling,sling,Peach and black handloom printed cotton mobile sling bag,"This is a handmade, durable and easily washable Peach and black handloom printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 8*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",8*5,,Peach and black,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
109,Fathenagar,MSB109,Mobile sling,sling,Black handloom printed cotton mobile sling bag,"This is a handmade, durable and easily washable Black handloom printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 7*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",7*5,,Black ,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
110,Fathenagar,MSB110,Mobile sling,sling,Green and yellow handloom printed cotton mobile sling bag,"This is a handmade, durable and easily washable Green and yellow handloom printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 7*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",7*5,,Green and yellow,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
111,Fathenagar,MSB111,Mobile sling,sling,Maroon printed cotton mobile sling bag,"This is a handmade, durable and easily washable Maroon printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 7*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",7*5,,Maroon,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
112,Fathenagar,MSB112,Mobile sling,sling,white and purple printed cotton mobile sling bag,"This is a handmade, durable and easily washable white and purple printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 7*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",7*5,,white and purple,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
113,Fathenagar,MSB113,Mobile sling,sling,Red and orange printed cotton mobile sling bag,"This is a handmade, durable and easily washable Red and orange printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 8*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",8*5,,Red and orange,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
114,Fathenagar,MSB114,Mobile sling,sling,Orange and sky blue printed cotton mobile sling bag,"This is a handmade, durable and easily washable Orange and sky blue printed cotton mobile sling bag. It is made of cotton (Primary material), thermocol (middle), non-woven fabric (inner material) and Nylon (Handle material). The dimensions of the bag are 7*5. The product has a button closure. It also features a small zipper pocket to hold pens, cards etc.","Cotton, thermocol, non woven fabric",7*5,,Orange and sky blue,hand wash only,"Handmade, Durable, easily washable",1,,200,,,,,,,,,,,,,,
